NUM_THREADS,"schedule: STATIC,100","schedule: dynamic,100",schedule: STATIC,"schedule: dynamic,100000"
1,0.765165,0.764066,0.763,0.763667
2,1.677657,2.332998,0.573981,0.585297
3,1.203009,1.540108,0.364196,0.381306
4,0.976079,1.291645,0.306058,0.31651
5,0.769259,1.143199,0.246914,0.262796
6,0.674144,1.022997,0.255888,0.243497
7,0.691015,0.843999,0.214504,0.237037
8,0.589478,0.782279,0.190188,0.216614
