thread_num,smooth,count-x,count-y
1,1.4978,1.57696,0.771936
2,0.782274,0.79375,0.395568
4,0.410927,0.42982,0.209791
8,0.215896,0.225696,0.145035
16,0.16672,0.116237,0.0580132
0,1.54,0.34,0.34
