NUM_THREADS,"schedule: STATIC,100","schedule: dynamic,100",schedule: STATIC,"schedule: dynamic,100000"
1,0.764363,0.765123,0.766278,0.769578
2,1.631382,2.328546,0.378046,0.591135
3,1.154331,1.535651,0.268857,0.394848
4,0.940844,1.397959,0.202287,0.317303
5,0.752718,1.159553,0.170605,0.260254
6,0.678395,0.921162,0.14141,0.233131
7,0.605195,0.792951,0.130665,0.213373
8,0.570286,0.74719,0.149798,0.205378
